653102|6500.0,6498.69,4100.0,3800.0,3800.0
653094|7800.0,6399.99,2250.0,3709.0,3999.99
653114|3000.0,2200.0,1900.0,2000.0,2000.0
653098|2998.69,2300.0,2200.0,1847.99,1700.0
653104|2004.99,2000.0,1950.0,1950.0,1945.0
653110|1906.26,1904.99,1900.0,1890.11
653108|1100.0,1099.99,1099.95,969.01,970.0
653106|2000.0,1599.99,900.0,750.19
653096|1099.45,1000.0,999.0,999.99,1170.4
653112|1500.0,1001.0,795.0,791.0
653116|999.95,592.45,649.31,648.0
653100|749.99,800.0,755.97,1000.0,600.0
664913|6899.99,7400.0,6600.0,4899.99,4999.89
664930|2596.77,2300.0,2300.0,3374.99,2199.0
664938|2289.95,1000.0,1899.0,1898.67
666783|1300.0,1149.0,1199.01,1199.0
668213|1650.0,1649.99,1649.99,1199.99,999.99
668211|1025.0,900.0,835.0,800.0,840.0
666469|800.0,849.38,770.0,790.0,777.77
666787|550.0,700.0,639.0,645.0,639.99
664941|615.0,600.99,600.99,602.79,599.99
668215|650.0,615.0,600.0,575.0,565.96
665645|491.0,499.45,481.0,480.0,480.0
668208|599.99,300.53,499.5,500.0,450.0
684506|2000.0,1899.0,2000.0,1999.99,2259.69
685609|865.05,1301.49,1300.0,1290.0
685522|1099.0,850.0,850.0
685607|895.01,720.0,704.0,650.0,620.0
685524|700.0,944.44,900.0,825.0
685525|724.99,488.81,721.99,749.95,889.45
685605|597.5,575.0,600.0,620.0,599.0
684502|750.0,850.0,850.0,475.49,450.0
684521|599.99,599.98,487.03,485.5,486.99
685526|659.99,503.12,504.69,650.0,650.0
684210|574.95,357.26,540.0,619.0,550.0
684504|355.65,722.22,599.98,594.99,467.58
709668|3500.0,3900.0,3499.99,3000.0,2799.98
709666|1359.99,1250.0,1252.99,1200.0,1400.0
709667|995.0,1060.68,1100.0,1151.99,1299.95
709103|1399.99,1398.95,1350.0,1200.0,1499.99
709669|1100.0,1150.0,1240.0,1175.98,1175.0
709304|668.0,669.69,669.69,678.9,681.39
709102|530.0,495.0,495.0,494.5,500.0
708197|440.19,430.0,441.5,420.69,485.0
708198|464.99,475.0,465.0,473.99,476.49
653101|360.0,395.0,389.99,389.98,398.49
653093|316.95,347.99,323.0,319.99,316.94
653109|172.0,174.0,175.99
653113|185.0,183.33,185.0,182.0,182.0
653097|138.21,129.0,129.0
653103|131.73,125.0,130.99,130.0
653111|108.0,109.0,114.65,110.1
653115|84.0,86.5,86.3,82.98,82.99
653105|81.99,79.51,81.0,79.51,80.0
653107|86.75,87.98,87.98,87.97,88.0
653095|62.87,68.65,68.64,67.97
653099|66.81,68.97,60.91,60.99,60.0
